Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw,Theta_calculated,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world
3.095,-2.372582984354074,-0.0053403429372519,-0.0051775759649733,-0.0009895050291266,-2.332442348315814,0.2240189529462144,-0.1545985276467872,-0.1621227514217662,-0.0402614829126397,0.1876219226267274,-0.7463917968698726,-0.0051516786786798,-0.005395301566215,-0.0013407073809909,0.219922793551158,-0.1580299735444502,-0.1529462735240241,-2.37254058504958
3.129,-2.3738857415580976,-0.0053684731773228,-0.0051902497548481,-0.0013027572040233,-2.333783055696805,0.2174495646368164,-0.1502757535315442,-0.1571671437077978,-0.0387930912887597,-0.1972789282101506,0.0440958445609591,-0.0050074940033075,-0.0052304969683649,-0.0012918099399157,0.2196536709565874,-0.1580304157667623,-0.1525585882777138,-2.373810250600312
3.163,-2.375112299188685,-0.0053783668835613,-0.0051858364836411,-0.0012265576305874,-2.3350748656367206,0.217464318506586,-0.1504888680848959,-0.1569835354617186,-0.0384914960004247,0.0004430591522392,0.0090569155656153,-0.0050145606167345,-0.0052244035100186,-0.0012817668168141,0.219848590823406,-0.1583634586208797,-0.1524939928674906,-2.37507378152703
3.197,-2.37387220669564,-0.005365752942248,-0.0051729152456161,0.0012400924930449,-2.3363566324535348,0.224247878954737,-0.1553905684286858,-0.1616814227396217,0.0374092580534192,0.2037105239684979,2.2793019235388585,-0.0051710814200344,-0.0053872798787622,0.0012457282931788,0.2193457839672363,-0.157835380138572,-0.152317319175181,-2.373984046324469
3.231,-2.372611001639904,-0.0053648425844715,-0.0051856487973142,0.0012612050557367,-2.335110904160356,0.2177641199260891,-0.15070200073114,-0.1571945256769955,0.0368271181667401,-0.1947074783377721,-0.01748167827865,-0.0050150979317051,-0.0052377183810373,0.0012263430349524,0.2195280632665808,-0.1577796326289493,-0.1526373417255741,-2.3727587280271654
3.265,-2.3715126909630007,-0.0053637220994744,-0.0051971457814296,0.0010983106769026,-2.3338845611254038,0.2179460913987168,-0.1506348838340335,-0.1575107314702241,0.0364807802915704,0.0054646087876166,-0.0104005367918827,-0.0050128866168892,-0.0052482177311946,0.0012148099837092,0.2197189782737049,-0.1577313663770694,-0.1529615816944355,-2.371545369703957
3.299,-2.3716537139137146,-0.0053740094663664,-0.0052126665585174,-0.0001410229507139,-2.332669751141694,0.2247341805402688,-0.1551290968091467,-0.162605089792062,-0.0031546027426632,0.2038465207673286,-1.1902517427697834,-0.0051660132910931,-0.0054145449656847,-0.0001050482713306,0.2202743802833035,-0.1581435806552613,-0.1533343096202747,-2.371633431654872
3.333,-2.3718002320862155,-0.0053797491872574,-0.005215986419382,-0.0001465181725008,-2.332774799413025,0.2183108707413645,-0.1507118186702171,-0.1579417107573814,-0.0041394823026718,-0.1928921861532845,-0.0295759627630204,-0.0050189980214815,-0.0052591779638398,-0.0001378447606789,0.2204593097989167,-0.1582978100775151,-0.1534409026357628,-2.371773288446193
3.367,-2.3721050148991623,-0.0053858307371462,-0.005219601966881,-0.0003047828129467,-2.332912644173703,0.2184773312179822,-0.1508485219582711,-0.1580413480046817,-0.0045571966052167,0.004998813111645,-0.0125439730493947,-0.0050235870261267,-0.0052624606897746,-0.0001517546469537,0.2206264059819525,-0.1584414518080676,-0.1535327892193231,-2.371927383914771
3.401,-2.373125274726565,-0.005397397175982,-0.0052232629644975,-0.0010202598274031,-2.333064398820657,0.2252185374443395,-0.1555277357208834,-0.1628941773977892,-0.0295963601257601,0.2024386254161349,-0.7519268324487514,-0.0051816756584666,-0.0054218901059186,-0.0009855587921878,0.2209421845045087,-0.1588200836833847,-0.1535956702268232,-2.3729155629191254
3.435,-2.3741540928451603,-0.0054021810427231,-0.0052160994484675,-0.0010288181185948,-2.3340499576128453,0.2186085400806815,-0.1511188684652102,-0.1579644940801616,-0.0297337619799728,-0.1984984193290707,-0.0041261818081898,-0.00503479365751,-0.0052577906054302,-0.000990134273933,0.2208363185802333,-0.1588967870856045,-0.1533639157622886,-2.373911392636173
3.469,-2.3752659094183937,-0.0054031559153585,-0.0052037712456884,-0.0011118165732333,-2.3350400918867784,0.2184272975746557,-0.1511497821922125,-0.1576839486726975,-0.0298372808355135,-0.0054427178986727,-0.0031086743405602,-0.0050358276250114,-0.005248439267323,-0.0009935814518226,0.2205251697255444,-0.1588268176406116,-0.1529882102667916,-2.374916888526424
