Time,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,wheelRight_velocity,wheelLeft_velocity,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
91.205,0.10928647875966371,-0.9138054687871474,-0.10011244469168216,0.8397750879048356,0.036182041256691916,0.1823909162626355,-0.0006579753379069283,-0.003579121739475271,-0.030429722110612012
91.237,0.12636872368252502,-1.2308871438088609,0.5129803280138532,-9.521972222874277,0.027897752177816138,0.22483969518723387,-0.0009080610589959621,-0.0041086336784581555,-0.04098854188883507
91.272,0.13019777876482766,-1.2681864898177855,0.11498663910818722,-1.1201004807484862,0.028742859579404832,0.23165269795025048,-0.0011108491662334462,-0.004190528237953864,-0.04223061011093226
91.305,0.126367719163064,-1.230898248939498,-0.11501680485776766,1.1197669933419676,0.02789585924790418,0.22483957907822386,-0.001246431844927747,-0.004018901804938154,-0.040988911689685284
91.338,0.13140724944181587,-0.7120525115354581,0.15133724560816422,15.58095307519639,0.07444304851897922,0.18837145036465253,-0.0014307011578509135,-0.004135258169166942,-0.02371134863413076
91.372,0.1296947820966703,-0.9718129150542953,-0.051425445800167384,-7.800612718283399,0.05194974889232665,0.2074398153010139,-0.0015258825650705874,-0.0040400991493627905,-0.032361370071308036
91.405,0.12575208469114085,-0.9415102039139605,-0.1183993214873705,0.9099913255355823,0.050431268378024016,0.2010729010042577,-0.0016035206815482842,-0.0038681795899018594,-0.031352289790334886
91.438,0.11332035203954552,-1.1291868218451468,-0.3733253048527127,-5.635934472408,0.022985406291933783,0.20365529778715727,-0.0015642669451231739,-0.0034338323417995287,-0.037601921167443396
91.471,0.11677306909178427,-1.1633633655987923,0.10368519676392639,-1.0263226352446073,0.023703999843880885,0.20984213833968765,-0.0017457810357830552,-0.0034743525735580856,-0.038740000074439784
91.504,0.11336332167250963,-1.129369203862111,-0.10239481739563464,1.0208456977982352,0.02301378536354074,0.20371285798147848,-0.001822302345052018,-0.0033057751185290025,-0.0376079944886083
91.537,0.10997684397973254,-1.072344400095297,-0.10169602681012306,1.7124565695739926,0.024189291972108777,0.1957643959873563,-0.0018842267014270043,-0.003140093179672131,-0.0357090685231734
91.571,0.11332388163496106,-1.1051668016155145,0.10051164129815379,-0.9856577033098325,0.024910537505719903,0.20173722576420222,-0.0020575735080547164,-0.003163144712362741,-0.036802054493796636
91.605,0.11001560919477436,-1.0728379646849362,-0.09934752072632713,0.9708359438612104,0.02418857201997947,0.19584264636956925,-0.0021075347004303304,-0.0029963723538042135,-0.03572550422400838
91.638,0.14281752536789638,-0.9841091150957635,0.9850425277213818,2.664530017692874,0.06408879616023531,0.22154625457555746,-0.002867521755662364,-0.0037938309076641125,-0.03277083353268893
91.672,0.13088495627820784,-1.147823282495147,-0.35833540809875486,-4.916341363344852,0.03905909367859608,0.2227108188778196,-0.002749627981345238,-0.0033813437792413444,-0.0382225153070884
91.704,0.1270146872383767,-1.1137030104939885,-0.11622429549042484,1.0246327928275865,0.03791844639885761,0.21611092807789575,-0.002789968378955807,-0.0031785924477525664,-0.03708631024944982
91.737,0.10947527515324292,-0.983843522358947,-0.526709071625639,3.8996843283796228,0.03076779336452716,0.18818275694195868,-0.0024989286623773063,-0.0026540594397805382,-0.032761989294552936
91.771,0.0787368953702243,-1.013920259367751,-0.923074467958517,-0.903205315579699,-0.002376725379195778,0.15985051611964438,-0.001859764225997718,-0.0018480222086041307,-0.03376354463694611
