,Time,delta_position_x,delta_position_y,delta_yaw,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw
3706,126.363,-3.7036826938674494e-09,1.3147761795950784e-08,-3.2255524066826524e-05,-1.1672173216354355e-05,-0.0007869155627352,9.86558817093845e-06,0.0007047557158291
3707,126.397,-3.287089267445253e-09,1.259453110552533e-08,-3.2250922868293224e-05,-1.2043603248911949e-05,-0.0008106465706702,-1.1255455532047806e-05,-0.0007191214525752
3708,126.431,-2.8777837890459072e-09,1.2050656895967736e-08,-3.224631721021609e-05,-1.2426824866906356e-05,-0.0008350905254416,-1.1612776302860389e-05,-0.0007407259021639
3709,126.465,-2.4755730798631252e-09,1.1515947598295108e-08,-3.2241707369706774e-05,-1.2078793247382689e-05,-0.0008104106584027,1.0546412712838008e-05,0.0007478747587548
3710,126.499,-2.080338568077877e-09,1.0990179905023822e-08,-3.2237093532838657e-05,-1.20957415958851e-05,-0.0008102932287812,-5.135863182548359e-07,3.5584733812796337e-06
3711,126.533,-1.6919177170393594e-09,1.0473129696819685e-08,-3.2232475486893e-05,-1.17666179026607e-05,-0.0007870254017714,9.40353409212657e-06,0.0006647950574222
3712,126.567,-1.3101373319557295e-09,9.964610900303761e-09,-3.222785342504864e-05,-1.2508445719201776e-05,-0.0008353665300828,-2.318211926690085e-05,-0.0015106602597303
3713,126.601,-9.34851751566157e-10,9.46443139832054e-09,-3.222322749518725e-05,-1.1788398162884094e-05,-0.0007861110683818,2.1177869303466343e-05,0.0014486900500298
3714,126.635,-5.659086532716627e-10,8.972400600271158e-09,-3.221859776836311e-05,-1.216185308508154e-05,-0.0008098102657781,-1.0983968299922948e-05,-0.0006970352175397
3715,126.669,-2.0316459625746572e-10,8.488333300138429e-09,-3.2213964368921204e-05,-1.2177853847105774e-05,-0.0008096871763285,-4.848715764919203e-07,3.7299833221565983e-06
3716,126.703,1.5352075166674695e-10,8.012048600958277e-09,-3.2209327398557974e-05,-1.2574437517899604e-05,-0.000834864121968,-1.239323971230855e-05,-0.0007867795512356
3717,126.737,5.042859463344485e-10,7.543369699714031e-09,-3.2204686950088046e-05,-1.1860122541359214e-05,-0.0007863138106197,2.04089993297274e-05,0.0013871517528105
3718,126.771,8.492651026870134e-10,7.082124400814571e-09,-3.220004314163916e-05,-1.2606299241825491e-05,-0.0008346065825782,-2.3318021889573768e-05,-0.0015091491237048
3719,126.805,1.1885896711305575e-09,6.6281436034154595e-09,-3.219539605003874e-05,-1.2239194660423429e-05,-0.0008091914654783,1.1124381254607588e-05,0.0007701550636323
3720,126.839,1.522389325714357e-09,6.181262598992099e-09,-3.2190745786309094e-05,-1.190400162077678e-05,-0.0007859487772371,9.57694398990522e-06,0.0006640768068928
3721,126.873,1.8508590216015362e-09,5.7412401013867695e-09,-3.21860911043359e-05,-1.2652244308237964e-05,-0.0008342170299877,-2.3382583983154227e-05,-0.0015083828984545
3722,126.907,2.1767982971709902e-09,5.304245896675663e-09,-3.218138009275506e-05,-1.1921889295385009e-05,-0.0007850231787916,2.148102978979802e-05,0.0014468779763553
3723,126.941,2.4922632846369197e-09,4.873981100661506e-09,-3.217671918198661e-05,-1.267017540840195e-05,-0.000833188593674,-2.2675336758088302e-05,-0.0014595580267402
3724,126.975,2.8028002141411434e-09,4.446082800535489e-09,-3.2172045719036646e-05,-1.2311728909252895e-05,-0.000808554002063,1.0862015125728502e-05,0.0007465027760927
3725,127.009,3.109918988997151e-09,4.022718297358452e-09,-3.2167370184410515e-05,-1.2325594127559714e-05,-0.0008084264884189,-4.201581305096465e-07,3.864049820855857e-06
3726,127.043,3.4135774207300074e-09,3.6039606021720516e-09,-3.216269458672372e-05,-1.2339540769882668e-05,-0.0008082966490325,-4.101953624397433e-07,3.818805482759981e-06
3727,127.077,3.7139074038350364e-09,3.1896415023102694e-09,-3.215801756306647e-05,-1.2353360347105525e-05,-0.0008081664244485,-4.1877506735923154e-07,3.946199513476944e-06
3728,127.111,4.0109719989800405e-09,2.7796668994328755e-09,-3.2153338819895794e-05,-1.2003119753039436e-05,-0.0007842719511938,1.030119394312272e-05,0.0007027786251383
3729,127.145,4.3048218323349374e-09,2.373981400349834e-09,-3.2148658572594975e-05,-1.275558665270134e-05,-0.0008323888120997,-2.28020272624811e-05,-0.0014580866941182
3730,127.179,4.595494207393358e-09,1.972524400761788e-09,-3.214397694373262e-05,-1.2029347178599098e-05,-0.0007840173396459,2.135998453241509e-05,0.0014226903662869
3731,127.213,4.883046411663372e-09,1.5752269003077581e-09,-3.213929393997006e-05,-1.2794724128185908e-05,-0.0008328846252015,-2.391802967459044e-05,-0.0015271026736118
3732,127.247,5.1675255186012245e-09,1.182022396628568e-09,-3.2134609570633195e-05,-1.2420218987876492e-05,-0.000807513631241,1.1014857067926627e-05,0.0007462057047212
3733,127.281,5.4489794898415775e-09,7.928490988740045e-10,-3.212992389256542e-05,-1.2067631436872465e-05,-0.0007836347090599,1.0370222088351968e-05,0.0007023212406203
3734,127.315,5.727457619286724e-09,4.076411985742823e-10,-3.212523689555269e-05,-1.2835048525340648e-05,-0.0008324770122248,-2.3981784014633383e-05,-0.0015263219739035
3735,127.349,6.0030167503555284e-09,2.63215005347206e-11,-3.212054838908074e-05,-1.2103009126870098e-05,-0.0007840568420648,2.091541138487486e-05,0.0013834334331447
3736,127.383,6.275679531597689e-09,-3.511397006494832e-10,-3.211585886608859e-05,-1.2471741825947433e-05,-0.0008069839022794,-1.117371815385815e-05,-0.0006947594004447
3737,127.417,6.545504582788908e-09,-7.24819100572649e-10,-3.211116812540382e-05,-1.2874337667940916e-05,-0.0008320662649216,-1.258112006229217e-05,-0.0007838238325678
3738,127.451,6.812534092404121e-09,-1.0947728001919899e-09,-3.210647623408392e-05,-1.249675238772939e-05,-0.0008067180501968,1.11054494179887e-05,0.0007455357271997
3739,127.485,7.0768106930074745e-09,-1.4610579968099555e-09,-3.2101783235649606e-05,-1.2509193112463873e-05,-0.0008065836485826,-3.769916586206706e-07,4.0727761892702765e-06
3740,127.519,7.338377905341531e-09,-1.823733802863714e-09,-3.209708913276543e-05,-1.2153071015108348e-05,-0.0007827317993443,1.0474179333984198e-05,0.0007015249775966
3741,127.553,7.59931628735444e-09,-2.1860836960096997e-09,-3.2092347949319595e-05,-1.291338580244834e-05,-0.0008307497434855,-2.3039842040604968e-05,-0.0014550892164016
3742,127.587,7.860155193384344e-09,-2.548949600000849e-09,-3.208754735473107e-05,-1.217671459130836e-05,-0.0007824695410198,2.1666800327651704e-05,0.0014200059548765
3743,127.621,8.11808087419763e-09,-2.9079239988183403e-09,-3.2082750407891325e-05,-1.2950367874963796e-05,-0.0008303330780279,-1.1913325486860036e-08,2.736934517778832e-05
3744,127.655,8.3732150102378e-09,-3.263152199839414e-09,-3.207795582049755e-05,-1.2950367874963796e-05,-0.0008303330780279,-1.1913325486860036e-08,2.736934517778832e-05
3745,127.689,8.625703262765683e-09,-3.614840600463242e-09,-3.2073161496004594e-05,-1.2986377059044692e-05,-0.0008308173896521,-3.512529920511832e-05,-0.0022214455789558
3746,127.723,8.875587820256214e-09,-3.96303380389984e-09,-3.2068367655124774e-05,-1.260448113569091e-05,-0.0008055044429116,1.1232233039819875e-05,0.0007444984335455
3747,127.757,9.122890887169888e-09,-4.307765998079471e-09,-3.206357459095699e-05,-1.2616017158961292e-05,-0.0008053674946495,-3.4957646273883377e-07,4.149947336531042e-06
3748,127.791,9.367654651981638e-09,-4.649094602349191e-09,-3.2058782295951715e-05,-1.2255898432591088e-05,-0.0007815490095096,1.0591727246180566e-05,0.0007005436805845
3749,127.825,9.609921747255612e-09,-4.9870778964788975e-09,-3.205399073147319e-05,-1.302162985439232e-05,-0.0008294916199247,-2.3203982478824328e-05,-0.0014528063762142
3750,127.859,9.849733917377534e-09,-5.321769400157272e-09,-3.204919989663324e-05,-1.2649902060956697e-05,-0.0008049570308088,1.1264478588957916e-05,0.000743472397451
3751,127.893,1.0087132018554712e-08,-5.653221703261213e-09,-3.204440979898138e-05,-1.266090779949943e-05,-0.0008048210485611,-3.335072285677251e-07,4.120674172251251e-06
3752,127.927,1.0322150689745513e-08,-5.981487395667617e-09,-3.203962043629716e-05,-1.267199304861376e-05,-0.0008046827429643,-3.260367386568655e-07,4.067811671062337e-06
3753,127.961,1.0554832119424873e-08,-6.306617603146769e-09,-3.2034831819238725e-05,-1.23099631896545e-05,-0.0007808811157849,1.0647937028211675e-05,0.0007000478582152
3754,127.995,1.0785211834729582e-08,-6.6286635000412106e-09,-3.2030043942032904e-05,-1.3090423614416143e-05,-0.0008295451686902,-2.43893882738041e-05,-0.0015207516532894
3755,128.029,1.101332802733168e-08,-6.94767309655786e-09,-3.202525681400559e-05,-1.2704575657851884e-05,-0.0008042683721834,1.1348469310716335e-05,0.0007434351913753
3756,128.063,1.1239215336189544e-08,-7.263695700476802e-09,-3.2020470440485844e-05,-1.2341344962437566e-05,-0.0007804782093078,1.0683255747473532e-05,0.0006997106728123
